notes.orig,population,return.year, n.above.weir,total.return.to.river,n.below.before.ps.mort,weir.efficiency,n.removed.at.weir,n.harvested,redds.above,redds.below
,Catherine,1997,80,82,2,0.025,0,0,45,1
,Catherine,1998,101,101,0,0.277,0,0,34,0
,Catherine,1999,84,88,4,0.19,0,0,38,2
,Catherine,2000,46,62,14,0.476,2,0,26,8
,Catherine,2001,549,613,8,0.154,56,0,131,2
,Catherine,2002,451,500,10,0.605,40,0,156,2
,Catherine,2003,481,593,6,0.947,106,0,165,2
,Catherine,2004,213,711,5,0.941,493,0,94,2
,Catherine,2005,151,231,3,0.971,77,0,72,2
,Catherine,2006,278,354,7,0.834,69,0,115,2
,Catherine,2007,168,284,6,0.892,110,0,57,2
,Catherine,2008,214,368,6,0.939,148,0,99,2
,Catherine,2009,282,763,11,0.888,470,0,87,2
,Catherine,2010,968,1532,31,0.898,533,0,357,11
,Catherine,2011,1725,1983,0,0.09,258,0,444,0
,Catherine,2012,711,1078,5,0.921,322,40,236,1
,Catherine,2013,515,810,0,0.977,297,0,110,0
,Catherine,2014,1046,1274,55,0.928,174,0,365,18
,Catherine,2015,506,774,17,0.987,251,0,215,7
,Catherine,2016,409,543,12,1,120,0,142,4
,Catherine,2017,138,241,3,0.883,100,0,50,1
,Catherine,2018,143,248,0,0.962,107,0,69,0
redds expanded,UGR,1997,54,67,13,0.167,0,0,24,6
redds expanded,UGR,1998,84,92,4,0.375,4,0,40,2
??,UGR,1999,4,4,0,0.25,0,0,0,0
redds expanded,UGR,2000,23,53,28,0.68,2,0,9,11
redds expanded,UGR,2001,30,77,26,0.961,21,0,8,7
redds expanded,UGR,2002,54,109,4,1,51,0,21,2
redds expanded,UGR,2003,98,291,88,0.932,106,0,21,19
redds expanded,UGR,2004,462,683,172,0.912,49,0,135,51
redds expanded,UGR,2005,205,424,147,1,72,0,53,38
redds expanded,UGR,2006,54,215,9,1,152,0,24,4
first year with weir in dnstm location. redds expanded[?]; no Vey,UGR,2007,19,115,15,1,78,0,1,0
redds expanded[?]; no Vey,UGR,2008,390,552,18,0.306,144,0,26,5
redds expanded[?]; no Vey,UGR,2009,299,1004,257,0.875,448,0,50,2
redds expanded[?]; no Vey,UGR,2010,2275,2566,64,0.501,179,49,342,18
redds expanded[?]; no Vey,UGR,2011,1546,1723,13,0.126,164,0,223,4
redds expanded[?]; no Vey,UGR,2012,707,896,11,0.756,178,0,95,2
redds expanded[?]; no Vey,UGR,2013,1084,1208,0,0.132,124,0,41,0
redds expanded[?]; no Vey,UGR,2014,1893,2090,25,0.329,160,12,255,6
no Vey,UGR,2015,1841,2043,0,0.509,187,15,123,0
no Vey,UGR,2016,239,393,0,0.806,152,2,73,0
no Vey,UGR,2017,155,284,0,0.485,129,0,29,0
no Vey,UGR,2018,211,381,0,0.94,170,0,37,0
expanded[?],Lostine,1997,145,159,5,0.191,9,0,47,2
expanded[?],Lostine,1998,126,158,32,0.121,0,0,28,7
expanded[?],Lostine,1999,64,84,17,0.16,2,0,45,12
expanded[?],Lostine,2000,233,325,60,0.238,33,0,53,11
expanded[?],Lostine,2001,439,720,143,0.627,89,51,98,33
expanded[?],Lostine,2002,734,920,98,0.627,87,0,182,27
expanded[?],Lostine,2003,517,785,173,0.517,94,0,127,41
expanded[?],Lostine,2004,732,1489,202,0.775,554,0,144,45
expanded[?],Lostine,2005,523,982,96,0.822,318,45,125,23
expanded[?],Lostine,2006,516,730,65,0.789,139,10,96,15
expanded[?],Lostine,2007,354,617,29,0.962,234,0,97,7
expanded[?],Lostine,2008,1537,2083,169,0.492,299,55,264,29
expanded[?],Lostine,2009,1153,3656,449,0.671,1675,323,195,63
expanded[?],Lostine,2010,4727,5319,26,0.12,427,413,692,4
expanded[?],Lostine,2011,5147,5926,242,0.063,302,378,661,32
expanded[?],Lostine,2012,1003,1942,508,0.669,171,77,280,141
expanded[?],Lostine,2013,765,1716,356,0.52,594,1,88,34
expanded[?],Lostine,2014,1876,3585,544,0.409,717,314,409,91
expanded[?],Lostine,2015,618,1932,288,0.516,432,766,167,79
expanded[?],Lostine,2016,1079,1762,225,0.676,305,155,185,36
expanded[?],Lostine,2017,359,880,46,0.724,434,68,125,14
expanded[?],Lostine,2018,666,1153,28,0.789,355,106,172,7
,Minam,1997,208,,,,0,0,,
,Minam,1998,233,,,,0,0,,
,Minam,1999,166,,,,0,0,,
,Minam,2000,512,,,,0,0,,
,Minam,2001,676,,,,0,0,,
,Minam,2002,737,,,,0,0,,
,Minam,2003,621,,,,0,0,,
,Minam,2004,548,,,,0,0,,
,Minam,2005,387,,,,0,0,,
,Minam,2006,498,,,,0,0,,
,Minam,2007,348,,,,0,0,,
,Minam,2008,614,,,,0,0,,
,Minam,2009,850,,,,0,0,,
,Minam,2010,1045,,,,0,0,,
,Minam,2011,936,,,,0,0,,
,Minam,2012,710,,,,0,0,,
,Minam,2013,510,,,,0,0,,
,Minam,2014,1255,,,,0,0,,
,Minam,2015,724,,,,0,0,,
,Minam,2016,682,,,,0,0,,
,Minam,2017,231,,,,0,0,,
,Minam,2018,345,,,,0,0,,
,Minam,2019,334,,,,0,0,,
